,country,year,sex,age,count of suicides,population,suicide rate, gdp_for_year ($) ,gdp_per_capita ($),generation,GDP,suicide level,Total_suicide_count
0,Albania,1987,male,15-24 years,21,312900,6.71,"2,156,624,900",796,Generation X,Low GDP,Low,1970
1,Albania,1987,male,35-54 years,16,308000,5.19,"2,156,624,900",796,Silent,Low GDP,Low,1970
2,Albania,1987,female,15-24 years,14,289700,4.83,"2,156,624,900",796,Generation X,Low GDP,Low,1970
3,Albania,1987,male,75+ years,1,21800,4.59,"2,156,624,900",796,G.I. Generation,Low GDP,Low,1970
4,Albania,1987,male,25-34 years,9,274300,3.28,"2,156,624,900",796,Boomers,Low GDP,Low,1970
5,Albania,1987,female,75+ years,1,35600,2.81,"2,156,624,900",796,G.I. Generation,Low GDP,Low,1970
6,Albania,1987,female,35-54 years,6,278800,2.15,"2,156,624,900",796,Silent,Low GDP,Low,1970
7,Albania,1987,female,25-34 years,4,257200,1.56,"2,156,624,900",796,Boomers,Low GDP,Low,1970
8,Albania,1987,male,55-74 years,1,137500,0.73,"2,156,624,900",796,G.I. Generation,Low GDP,Low,1970
9,Albania,1987,female,5-14 years,0,311000,0.0,"2,156,624,900",796,Generation X,Low GDP,Low,1970
10,Albania,1987,female,55-74 years,0,144600,0.0,"2,156,624,900",796,G.I. Generation,Low GDP,Low,1970
11,Albania,1987,male,5-14 years,0,338200,0.0,"2,156,624,900",796,Generation X,Low GDP,Low,1970
12,Albania,1988,female,75+ years,2,36400,5.49,"2,126,000,000",769,G.I. Generation,Low GDP,Low,1970
13,Albania,1988,male,15-24 years,17,319200,5.33,"2,126,000,000",769,Generation X,Low GDP,Low,1970
14,Albania,1988,male,75+ years,1,22300,4.48,"2,126,000,000",769,G.I. Generation,Low GDP,Low,1970
15,Albania,1988,male,35-54 years,14,314100,4.46,"2,126,000,000",769,Silent,Low GDP,Low,1970
16,Albania,1988,male,55-74 years,4,140200,2.85,"2,126,000,000",769,G.I. Generation,Low GDP,Low,1970
17,Albania,1988,female,15-24 years,8,295600,2.71,"2,126,000,000",769,Generation X,Low GDP,Low,1970
18,Albania,1988,female,55-74 years,3,147500,2.03,"2,126,000,000",769,G.I. Generation,Low GDP,Low,1970
19,Albania,1988,female,25-34 years,5,262400,1.91,"2,126,000,000",769,Boomers,Low GDP,Low,1970
20,Albania,1988,male,25-34 years,5,279900,1.79,"2,126,000,000",769,Boomers,Low GDP,Low,1970
21,Albania,1988,female,35-54 years,4,284500,1.41,"2,126,000,000",769,Silent,Low GDP,Low,1970
22,Albania,1988,female,5-14 years,0,317200,0.0,"2,126,000,000",769,Generation X,Low GDP,Low,1970
23,Albania,1988,male,5-14 years,0,345000,0.0,"2,126,000,000",769,Generation X,Low GDP,Low,1970
24,Albania,1989,male,75+ years,2,22500,8.89,"2,335,124,988",833,G.I. Generation,Low GDP,Low,1970
25,Albania,1989,male,25-34 years,18,283600,6.35,"2,335,124,988",833,Boomers,Low GDP,Low,1970
26,Albania,1989,male,35-54 years,15,318400,4.71,"2,335,124,988",833,Silent,Low GDP,Low,1970
27,Albania,1989,male,55-74 years,6,142100,4.22,"2,335,124,988",833,G.I. Generation,Low GDP,Low,1970
28,Albania,1989,male,15-24 years,12,323500,3.71,"2,335,124,988",833,Generation X,Low GDP,Low,1970
29,Albania,1989,female,35-54 years,7,288600,2.43,"2,335,124,988",833,Silent,Low GDP,Low,1970
30,Albania,1989,female,15-24 years,5,299900,1.67,"2,335,124,988",833,Generation X,Low GDP,Low,1970
31,Albania,1989,female,25-34 years,2,266300,0.75,"2,335,124,988",833,Boomers,Low GDP,Low,1970
32,Albania,1989,female,55-74 years,1,149600,0.67,"2,335,124,988",833,G.I. Generation,Low GDP,Low,1970
33,Albania,1989,female,5-14 years,0,321900,0.0,"2,335,124,988",833,Generation X,Low GDP,Low,1970
34,Albania,1989,female,75+ years,0,37000,0.0,"2,335,124,988",833,G.I. Generation,Low GDP,Low,1970
35,Albania,1989,male,5-14 years,0,349700,0.0,"2,335,124,988",833,Generation X,Low GDP,Low,1970
36,Albania,1992,male,35-54 years,12,343800,3.49,"709,452,584",251,Boomers,Low GDP,Low,1970
37,Albania,1992,male,15-24 years,9,263700,3.41,"709,452,584",251,Generation X,Low GDP,Low,1970
38,Albania,1992,male,55-74 years,5,159500,3.13,"709,452,584",251,Silent,Low GDP,Low,1970
39,Albania,1992,male,25-34 years,7,245500,2.85,"709,452,584",251,Boomers,Low GDP,Low,1970
40,Albania,1992,female,15-24 years,7,292400,2.39,"709,452,584",251,Generation X,Low GDP,Low,1970
41,Albania,1992,female,25-34 years,4,267400,1.5,"709,452,584",251,Boomers,Low GDP,Low,1970
42,Albania,1992,female,35-54 years,2,323100,0.62,"709,452,584",251,Boomers,Low GDP,Low,1970
43,Albania,1992,female,55-74 years,1,164900,0.61,"709,452,584",251,Silent,Low GDP,Low,1970
44,Albania,1992,female,5-14 years,0,336700,0.0,"709,452,584",251,Millenials,Low GDP,Low,1970
45,Albania,1992,female,75+ years,0,38700,0.0,"709,452,584",251,G.I. Generation,Low GDP,Low,1970
46,Albania,1992,male,5-14 years,0,362900,0.0,"709,452,584",251,Millenials,Low GDP,Low,1970
47,Albania,1992,male,75+ years,0,23900,0.0,"709,452,584",251,G.I. Generation,Low GDP,Low,1970
48,Albania,1993,male,15-24 years,18,243300,7.4,"1,228,071,038",437,Generation X,Low GDP,Low,1970
49,Albania,1993,male,55-74 years,7,165000,4.24,"1,228,071,038",437,Silent,Low GDP,Low,1970
50,Albania,1993,male,75+ years,1,24200,4.13,"1,228,071,038",437,G.I. Generation,Low GDP,Low,1970
51,Albania,1993,male,25-34 years,9,230100,3.91,"1,228,071,038",437,Boomers,Low GDP,Low,1970
52,Albania,1993,female,15-24 years,10,285300,3.51,"1,228,071,038",437,Generation X,Low GDP,Low,1970
53,Albania,1993,male,35-54 years,10,350300,2.85,"1,228,071,038",437,Boomers,Low GDP,Low,1970
54,Albania,1993,female,25-34 years,7,261800,2.67,"1,228,071,038",437,Boomers,Low GDP,Low,1970
55,Albania,1993,female,35-54 years,7,331200,2.11,"1,228,071,038",437,Boomers,Low GDP,Low,1970
56,Albania,1993,female,55-74 years,2,169500,1.18,"1,228,071,038",437,Silent,Low GDP,Low,1970
57,Albania,1993,female,5-14 years,1,340300,0.29,"1,228,071,038",437,Millenials,Low GDP,Low,1970
58,Albania,1993,male,5-14 years,1,367000,0.27,"1,228,071,038",437,Millenials,Low GDP,Low,1970
59,Albania,1993,female,75+ years,0,39300,0.0,"1,228,071,038",437,G.I. Generation,Low GDP,Low,1970
60,Albania,1994,male,75+ years,2,24600,8.13,"1,985,673,798",697,G.I. Generation,Low GDP,Low,1970
61,Albania,1994,male,55-74 years,11,171400,6.42,"1,985,673,798",697,Silent,Low GDP,Low,1970
62,Albania,1994,female,75+ years,2,39900,5.01,"1,985,673,798",697,G.I. Generation,Low GDP,Low,1970
63,Albania,1994,male,25-34 years,6,231400,2.59,"1,985,673,798",697,Boomers,Low GDP,Low,1970
64,Albania,1994,male,35-54 years,9,362800,2.48,"1,985,673,798",697,Boomers,Low GDP,Low,1970
65,Albania,1994,male,15-24 years,6,242200,2.48,"1,985,673,798",697,Generation X,Low GDP,Low,1970
66,Albania,1994,female,15-24 years,6,282600,2.12,"1,985,673,798",697,Generation X,Low GDP,Low,1970
67,Albania,1994,female,25-34 years,4,261100,1.53,"1,985,673,798",697,Boomers,Low GDP,Low,1970
